"Media And Storage Devices",Label,"Asset Name(s)","Threat Agent","Threat Action",Vulnerability,Control,Global,Media
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Theft of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Theft of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Theft of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Laptop,,"Laboratory Information System","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Laptop,,RIS,"System Cracker","Theft of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Laptop,,RIS,"Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email",Malware,"Theft of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Theft of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2",Malware,"Theft of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Theft of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
"Storage Area Network",,"Another Two","System Cracker","Theft of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
"Storage Area Network",,"Another Two","Users with Malicious Intent","Malicious use of sensitive data","Excessive User Permissions","Role-based access control",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
Desktop,"One more","EDI Gateway","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
"Disk Array",,"Another Two","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
"Disk Array",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
Laptop,,"Laboratory Information System","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
Laptop,,RIS,"Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
Laptop,,RIS,"System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
"Storage Area Network",,"Another Two","Careless software developer","Insecure development of software","Insecure Software Development Processes","Secure software development processes",TBD,TBD
"Storage Area Network",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development processes",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
Desktop,"One more","EDI Gateway","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
"Desktop / Laptop",,"Another Two",Malware,"Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
"Disk Array",,"Another Two","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
"Disk Array",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
Laptop,,"Laboratory Information System","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
Laptop,,RIS,"Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
Laptop,,RIS,"System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
"Storage Area Network",,"Another Two","Careless software developer","Insecure development of software","Poor Secure Software Development Training","Secure software development training and awareness",TBD,TBD
"Storage Area Network",,"Another Two","System Cracker","Theft of sensitive data","Vulnerabilities in custom applications","Secure software development training and awareness",TBD,TBD
"Backup Media",text,"My Asset by Max#|#Testing with XLSX",Burglar/Thief,"Theft of storage media","Vulnerabilities in media handling","Secure storage of backup media when not in use",TBD,TBD
"Backup Media",text,"My Asset by Max#|#Testing with XLSX","Electrical Incident","Electrical damage to equipment","Insufficient equipment shielding","Secure storage of backup media when not in use",TBD,TBD
"Backup Media",text,"My Asset by Max#|#Testing with XLSX",Flood,"Water damage to equipment","Insufficient equipment shielding","Secure storage of backup media when not in use",TBD,TBD
"Backup Media",text,"My Asset by Max#|#Testing with XLSX","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Secure storage of backup media when not in use",TBD,TBD
"Digital Camera",,"Another Two",Burglar/Thief,"Theft of equipment","Vulnerabilities in media handling","Secure storage of devices when not in use",TBD,TBD
"Digital Camera",,"Another Two","Electrical Incident","Electrical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"Digital Camera",,"Another Two",Flood,"Water damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"Digital Camera",,"Another Two","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
Pager,,"Another Two",Burglar/Thief,"Theft of equipment","Vulnerabilities in media handling","Secure storage of devices when not in use",TBD,TBD
Pager,,"Another Two","Electrical Incident","Electrical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
Pager,,"Another Two",Flood,"Water damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
Pager,,"Another Two","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
Smartphone,,"Another Two",Burglar/Thief,"Theft of equipment","Vulnerabilities in media handling","Secure storage of devices when not in use",TBD,TBD
Smartphone,,"Another Two","Electrical Incident","Electrical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
Smartphone,,"Another Two",Flood,"Water damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
Smartphone,,"Another Two","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
Tablet,,"Another Two#|#RIS",Burglar/Thief,"Theft of equipment","Vulnerabilities in media handling","Secure storage of devices when not in use",TBD,TBD
Tablet,,"Another Two#|#RIS","Electrical Incident","Electrical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
Tablet,,"Another Two#|#RIS",Flood,"Water damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
Tablet,,"Another Two#|#RIS","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive",Corporate,"Another Two",Burglar/Thief,"Theft of equipment","Vulnerabilities in media handling","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive",Corporate,"Another Two","Electrical Incident","Electrical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive",Corporate,"Another Two",Flood,"Water damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive",Corporate,"Another Two","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive",BYOD,"Claims System",Burglar/Thief,"Theft of equipment","Vulnerabilities in media handling","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive",BYOD,"Claims System","Electrical Incident","Electrical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive",BYOD,"Claims System",Flood,"Water damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive",BYOD,"Claims System","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive",lala,"EDI Gateway",Burglar/Thief,"Theft of equipment","Vulnerabilities in media handling","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive",lala,"EDI Gateway","Electrical Incident","Electrical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive",lala,"EDI Gateway",Flood,"Water damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive",lala,"EDI Gateway","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive","nuevo label","Electronic Medical Records System",Burglar/Thief,"Theft of equipment","Vulnerabilities in media handling","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive","nuevo label","Electronic Medical Records System","Electrical Incident","Electrical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive","nuevo label","Electronic Medical Records System",Flood,"Water damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
"USB key / flash drive","nuevo label","Electronic Medical Records System","Inclement weather","Physical damage to equipment","Insufficient equipment shielding","Secure storage of devices when not in use",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless IT personnel","Improper destruction, disposal or reuse of media","Destruction/Disposal Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless IT personnel","Insecure configuration of systems","Vulnerabilities in system configurations","Security/privacy awareness and training",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless user","Information leakage","Destruction/Disposal Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless user","Installation of malicious software","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless user","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Security/privacy awareness and training",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Wireless users in the vicinity with malicious intent","Wireless Eavesdropping","Vulnerabilities related to wireless transmissions","Security/privacy awareness and training",TBD,TBD
Desktop,"One more","EDI Gateway","Careless IT personnel","Improper destruction, disposal or reuse of media","Destruction/Disposal Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"One more","EDI Gateway","Careless IT personnel","Insecure configuration of systems","Vulnerabilities in system configurations","Security/privacy awareness and training",TBD,TBD
Desktop,"One more","EDI Gateway","Careless user","Information leakage","Destruction/Disposal Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"One more","EDI Gateway","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"One more","EDI Gateway","Careless user","Installation of malicious software","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"One more","EDI Gateway","Careless user","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"One more","EDI Gateway",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Security/privacy awareness and training",TBD,TBD
Desktop,"One more","EDI Gateway","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"One more","EDI Gateway","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"One more","EDI Gateway","Wireless users in the vicinity with malicious intent","Wireless Eavesdropping","Vulnerabilities related to wireless transmissions","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless IT personnel","Improper destruction, disposal or reuse of media","Destruction/Disposal Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless IT personnel","Insecure configuration of systems","Vulnerabilities in system configurations","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless user","Information leakage","Destruction/Disposal Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless user","Installation of malicious software","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless user","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Wireless users in the vicinity with malicious intent","Wireless Eavesdropping","Vulnerabilities related to wireless transmissions","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless IT personnel","Improper destruction, disposal or reuse of media","Destruction/Disposal Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless IT personnel","Insecure configuration of systems","Vulnerabilities in system configurations","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless user","Information leakage","Destruction/Disposal Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless user","Installation of malicious software","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless user","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Wireless users in the vicinity with malicious intent","Wireless Eavesdropping","Vulnerabilities related to wireless transmissions","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless IT personnel","Improper destruction, disposal or reuse of media","Destruction/Disposal Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless IT personnel","Insecure configuration of systems","Vulnerabilities in system configurations","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless user","Information leakage","Destruction/Disposal Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless user","Installation of malicious software","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless user","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System",Malware,"Theft of sensitive data","Anti-malware Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Theft of sensitive data","Vulnerabilities in system configurations","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Security/privacy awareness and training",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Wireless users in the vicinity with malicious intent","Wireless Eavesdropping","Vulnerabilities related to wireless transmissions","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless IT personnel","Improper destruction, disposal or reuse of media","Destruction/Disposal Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless IT personnel","Insecure configuration of systems","Vulnerabilities in system configurations","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless user","Information leakage","Destruction/Disposal Vulnerabilities","Security/privacy awareness and training",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Security/privacy awareness and training",TBD,TBD
